title;description;accommodation;neighbourhood;rating;evaluators;typeAcomodation;price
Apartamento em Manaíra;Uno Flats 201 - Comodidade, luxo e lazer;2 camas;Manaíra;4.89;245;Apartamento;R$143
Apartamento em Tambaú;Lindo Flat na orla da praia de Tambaú.;1 cama de casal;Tambaú;4.44;274;Apartamento;R$137
Apartamento em Cabo Branco;GoldFlat Cabo Branco;1 cama;Cabo Branco;4.69;65;Apartamento;R$169
Apartamento em Manaíra;Uno Flats #11 - luxo pertinho da praia;2 camas;Manaíra;4.9;156;Apartamento;R$143
Apartamento em Intermares;Flat mobiliado na Praia ,João pessoa / Cabedelo PB;2 camas;Intermares;4.6;175;Apartamento;R$80
Apartamento em Manaíra;FLAT ONE #LT01;1 cama queen;Manaíra;4.75;144;Apartamento;R$148
Apartamento em Cabo Branco;Flat com vista da piscina e perto do Mar;2 camas;Cabo Branco;4.76;68;Apartamento;R$146
Quarto inteiro em Jardim Oceania;Suite a metros da praia...;2 camas de casal;Jardim Oceania;4.94;185;Quarto inteiro;R$59
Apartamento em Intermares;Flat mobiliado Praia , João pessoa / Cabedelo PB;2 camas;Intermares;4.7;282;Apartamento;R$91
Apartamento em João Pessoa ;UnoFlat 307 -Comodidade, luxo, lazer num só lugar!;2 camas;João Pessoa ;4.9;331;Apartamento;R$199
Apartamento em Cabo Branco;Apartamento Maravilhoso no Gold Flat;1 cama queen;Cabo Branco;4.58;107;Apartamento;R$160
Apartamento em Cabo Branco;Apart Flat 202 encantador, 100 metros do mar.;1 cama queen;Cabo Branco;4.7;104;Apartamento;R$181
Loft em Cabo Branco;Apto luxuoso em hotel na praia de Cabo Branco;3 camas;Cabo Branco;4.58;131;Outro;R$167
Apartamento em Cabo Branco;Apt amplo em luxuoso Hotel a 50 metros da praia;4 camas;Cabo Branco;4.83;69;Apartamento;R$160
Apartamento em João Pessoa;Ótimo Apartamento em  Tambauzinho, João Pessoa.;3 camas;João Pessoa;4.45;156;Apartamento;R$114
Apartamento em João Pessoa;Flat em Manaíra Uno Flats 102 Luxuoso 50m da orla;2 camas;João Pessoa;4.88;116;Apartamento;R$190
Apartamento em João Pessoa;Israel Flat Tambaú;1 cama;João Pessoa;0;0;Apartamento;R$134
Apartamento em João Pessoa;Blue Sunset Prime vista do mar e varanda;3 camas;João Pessoa;5.0;13;Apartamento;R$230
Apartamento em Tambaú;Israel Flat Tambaú 126 - Praia;1 cama queen;Tambaú;4.71;120;Apartamento;R$205
Apartamento em Cabo Branco;BEIRA MAR DE JOÃO PESSOA C/ AR APTO 412;1 cama queen;Cabo Branco;4.47;181;Apartamento;R$199
Apartamento em João Pessoa;Studio 907 Encantador | Garagem + Wifi 400 MB;2 camas;João Pessoa;5.0;4;Apartamento;R$225
Apartamento em Cabo Branco;Goldflat - Vista Piscina, Penareia tur br.;1 cama;Cabo Branco;4.46;48;Apartamento;R$179
Apartamento em Manaíra;Uno Flat Apartamento 204;2 camas;Manaíra;4.81;86;Apartamento;R$171
Apartamento em Tambaú;Confortável e exclusivo! Na orla, à beira mar!;2 camas;Tambaú;4.91;35;Apartamento;R$262
Quarto inteiro em Cabo Branco;Bauten Cabo Branco 205, Novíssimo a 150 m da praia;1 cama;Cabo Branco;4.88;51;Quarto inteiro;R$217
Apartamento em João Pessoa;Manaira Gold flat 1505 vizinho ao shopping;1 cama;João Pessoa;4.92;12;Apartamento;R$177
Quarto inteiro em Bessa;Quarto inteiro perto da Praia do Bessa.;1 cama de casal;Bessa;5.0;27;Quarto inteiro;R$98
Apartamento em Conjunto Esplanada;Melhor custo benefício de João Pessoa! ALGAROBA.;2 camas de casal;Conjunto Esplanada;4.78;73;Apartamento;R$112
Apartamento em João Pessoa;Blue Sunset Prime vista do mar e varanda;3 camas;João Pessoa;5.0;13;Apartamento;R$230
Quarto inteiro em João Pessoa;Quarto Universitário Confortável;1 cama de solteiro;João Pessoa;5.0;5;Quarto inteiro;R$68
Quarto de hotel em Centro;Pousada no centro histórico de João Pessoa;1 cama de casal;Centro;4.5;26;Outro;R$65
Apartamento em Cabo Branco;Lindo Flat Bauten Cabo Branco - João Pessoa;2 camas;Cabo Branco;4.92;12;Apartamento;R$194
Apartamento em Torre;Espectacular apt na torre;1 cama de casal;Torre;4.72;76;Apartamento;R$131
Apartamento em Cabedelo;Conforto e bem estar no melhor lugar da cidade.;1 cama;Cabedelo;4.88;16;Apartamento;R$176
Quarto inteiro em Bancários;Quarto Fraternidade;1 cama de solteiro;Bancários;5.0;16;Quarto inteiro;R$102
Apartamento em Jardim Oceania;Lindo apartamento de 2 quartos no Atlântico Norte;3 camas;Jardim Oceania;4.78;49;Apartamento;R$218
Quarto inteiro em Cabedelo;Suíte Mar e Sol - INTERMARES;1 cama queen;Cabedelo;5.0;10;Quarto inteiro;R$137
Apartamento em João Pessoa;Apartamento Solmar;1 cama;João Pessoa;5.0;3;Apartamento;R$234
Condomínio em João Pessoa;Condomínio paradisíaco, próximo à praia e o Centro;1 cama;João Pessoa;4.5;12;Outro;R$114
Apartamento em Manaíra;Manaira Gold flat , ao lado do Manaira shopping;1 cama;Manaíra;5.0;19;Apartamento;R$205
Quarto inteiro em João Pessoa;Um lugar familiar e confortável;3 camas;João Pessoa;0;0;Quarto inteiro;R$59
Apartamento em Cabo Branco;Bauten Cabo Branco 206 - completo, 150m da praia;2 camas;Cabo Branco;5.0;51;Apartamento;R$171
Apartamento em Ernani Sátiro;Melhor custo benefício !!!Apartamento CAROÁ.;2 camas de casal;Ernani Sátiro;4.39;66;Apartamento;R$112
Quarto inteiro em Manaíra;Suíte Individ. p/ 2 Pessoas c/ Ar condicionado;1 cama de casal;Manaíra;4.95;60;Quarto inteiro;R$114
Quarto inteiro em Cabo Branco;Miramar Deluxe Ambassador Beach;4 camas;Cabo Branco;4.69;26;Quarto inteiro;R$196
Apartamento em Tambaú;Apto sensacional no Holandas Prime;1 cama de casal;Tambaú;4.73;15;Apartamento;R$265
Apartamento em Manaíra;UNO Flat Luxo com vista para o Mar e 50 mts do Mar;2 camas;Manaíra;4.94;173;Apartamento;R$205
Quarto inteiro em Cabo Branco;Quarto Parahyba - Morada do Sol;2 camas;Cabo Branco;4.92;78;Quarto inteiro;R$121
Apartamento em Manaíra;FLAT Luxo NOVO no Manaíra Apart Hotel- prx a praia;1 cama queen;Manaíra;4.96;84;Apartamento;R$223
Quarto inteiro em João Pessoa;Ao poucos passos do mar .;1 cama;João Pessoa;5.0;14;Quarto inteiro;R$171
Quarto inteiro em Bessa;Quarto com suíte, bem localizado no Bessa;1 cama de casal;Bessa;5.0;24;Quarto inteiro;R$103
Casa em João Pessoa;Casa com garagem 900 metros do mar;1 cama queen;João Pessoa;5.0;3;Outro;R$104
Apartamento em João Pessoa;UNO Flats #10 - luxo pertinho da praia;2 camas;João Pessoa;4.89;19;Apartamento;R$205
Quarto inteiro em João Pessoa;Quarto Encantador;1 cama de casal;João Pessoa;4.94;17;Quarto inteiro;R$72
Apartamento em Cabo Branco;Lindo Flat Na Beira Mar do Cabo Branco Blue Sunset;3 camas;Cabo Branco;4.54;261;Apartamento;R$183
Apartamento em Manaíra;Goldflat - Manaíra | Prático e confortável;1 cama;Manaíra;4.39;64;Apartamento;R$180
Apartamento em Manaíra;Apto encantador no Manaira Apart Hotel 1301;1 cama;Manaíra;4.93;43;Apartamento;R$261
Apartamento em Tambaú;Miramar Studio Praia Premium;2 camas queen;Tambaú;4.3;27;Apartamento;R$231
Apartamento em João Pessoa;Ap.residencial á 400 m da orla;1 cama;João Pessoa;0;0;Apartamento;R$202
Apartamento em João Pessoa;Beira Mar Flat, BrancoCabo!;1 cama king;João Pessoa;4.29;17;Apartamento;R$217
Quarto de hotel em Cabo Branco;Marinas Praia Flat Jampa;2 camas;Cabo Branco;4.73;135;Outro;R$283
Apartamento em Ernani Sátiro;Melhor custo benefício !!!Apartamento CAROÁ.;2 camas de casal;Ernani Sátiro;4.39;66;Apartamento;R$112
Apartamento em João Pessoa;Apartamento Luxo no Holandas Prime;3 camas;João Pessoa;4.5;6;Apartamento;R$347
Quarto inteiro em Cabo Branco;Flat Nord Cabo Branco.;2 camas;Cabo Branco;4.79;43;Quarto inteiro;R$228
Quarto inteiro em Bessa;Quarto com suíte, bem localizado no Bessa;1 cama de casal;Bessa;5.0;24;Quarto inteiro;R$103
Apartamento em Tambaú;Maravilhoso Apto no Holandas Prime;4 camas;Tambaú;3.89;9;Apartamento;R$283
Quarto inteiro em Intermares;Flat Victory Intermares;;Intermares;4.64;33;Quarto inteiro;R$168
Quarto inteiro em Manaíra;Suíte simples individual em Manaíra Café Incluso.;1 cama;Manaíra;4.91;11;Quarto inteiro;R$86
Apartamento em Intermares;Linda Vista para o mar equipadíssimo 508;1 cama de casal;Intermares;4.89;159;Apartamento;R$296
Quarto inteiro em Cabo Branco;Quarto Parahyba - Morada do Sol;2 camas;Cabo Branco;4.92;78;Quarto inteiro;R$121
Quarto inteiro em Cabo Branco;Flat Marinas Cabo Branco com Vista Mar;2 camas;Cabo Branco;4.57;138;Quarto inteiro;R$274
Quarto inteiro em João Pessoa;Quarto Encantador;1 cama de casal;João Pessoa;4.94;17;Quarto inteiro;R$72
Apartamento em João Pessoa;Mi casa es su casa;2 camas;João Pessoa;4.86;14;Apartamento;R$143
Apartamento em Tambaú;Apart Miramar Deluxe Praia;1 cama de casal;Tambaú;5.0;3;Apartamento;R$231
Casa em João Pessoa;Casa com garagem 900 metros do mar;1 cama queen;João Pessoa;4.5;6;Outro;R$104
Quarto inteiro em João Pessoa;Bosque Inglês- Quarto Bancários João Pessoa;1 cama de casal;João Pessoa;5.0;12;Quarto inteiro;R$54
Apartamento em Cabedelo;Lazer e tranquilidade na orla de Intermares;1 cama;Cabedelo;4.82;45;Apartamento;R$221
Quarto inteiro em Cabo Branco;Bauten Flat201 na praia de Cabo Branco em JP;3 camas;Cabo Branco;4.41;41;Quarto inteiro;R$217
Apartamento em Manaíra;Goldflat - Manaíra | Duas camas de solteiro;2 camas;Manaíra;4.92;48;Apartamento;R$180
Casa em Bessa;Kitnet no Bessa (cama nupcial da rainha);2 camas queen;Bessa;0;0;Outro;R$160
Apartamento em João Pessoa;Apartamento completo na praia do Bessa;2 camas;João Pessoa;4.47;32;Apartamento;R$224
Apartamento em Bessa;Loft de luxo à beira-mar, com piscina privativa.;3 camas;Bessa;4.85;76;Apartamento;R$223
Apartamento em Intermares;Flat na praia do Caribessa. João Pessoa/PB.;2 camas;Intermares;5.0;4;Apartamento;R$650
Apartamento em João Pessoa;Quarto Cabo Branco - Morada do Sol;2 camas de solteiro;João Pessoa;4.96;69;Apartamento;R$342
Quarto inteiro em Cabo Branco;APT Sofisticado no Cabo Branco - Beira Mar!;3 camas queen;Cabo Branco;5.0;6;Quarto inteiro;R$120
Apartamento em João Pessoa;Goldflat - Manaíra | Luxo & conforto.;1 cama;João Pessoa;4.68;44;Apartamento;R$685
Apartamento em Manaíra;Apartamento de Alto Padrao;3 camas;Manaíra;0;0;Apartamento;R$180
Apartamento em João Pessoa;Apto incrível à 200mts da Praia do Bessa.;4 camas;João Pessoa;4.97;72;Apartamento;R$402
Condomínio em Jardim Oceania;Alugo apartamento por diária 230,00;3 camas;Jardim Oceania;5.0;15;Outro;R$479
Apartamento em Bessa;Apartamento completo na praia do Bessa;2 camas;Bessa;4.47;32;Apartamento;R$223
Apartamento em João Pessoa;Apartamento de Alto Padrao;3 camas;João Pessoa;0;0;Apartamento;R$402
Apartamento em João Pessoa;Flat 40mts novo com vaga de garagem em Manaira;1 cama de casal;João Pessoa;4.71;197;Apartamento;R$210
Apartamento em Cabo Branco;Luxuoso Flat no Vivendas do Mar;2 camas;Cabo Branco;4.45;33;Apartamento;R$208
Condomínio em Manaíra;Alugo apartamento por diária 230,00;3 camas;Manaíra;5.0;15;Outro;R$236
Apartamento em Altiplano Cabo Branco;Apartamento aconchegante,bem localizado.;2 camas;Altiplano Cabo Branco;4.91;43;Apartamento;R$194
Quarto inteiro em Manaíra;Q Suite indiv em apto p 2 pessoas c/ ar condicion.;1 cama;Manaíra;5.0;24;Quarto inteiro;R$148
Condomínio em Jardim Oceania;lindo apartamento na beira mar da praia do Bessa, conhecido como caribessa pela beleza natural da praia. Ambiente familiar e com toda estrutura para sua hospedagem.;1 cama de casal;Jardim Oceania;4.94;35;Outro;R$353
Quarto de hotel em João Pessoa ;Flat frente mar - luxo completo;1 cama queen;João Pessoa ;4.85;112;Outro;R$256
Apartamento em João Pessoa;APT Sofisticado no Cabo Branco - Beira Mar!;3 camas queen;João Pessoa;5.0;6;Apartamento;R$685
Apartamento em Cabo Branco;Bauten Cabo Branco 306 - Flat moderno e equipado próximo ao mar por Carpediem;2 camas;Cabo Branco;4.91;11;Apartamento;R$247
Apartamento em João Pessoa;Apartamento Praia de Cabo Branco;3 camas;João Pessoa;0;0;Apartamento;R$280
Quarto inteiro em João Pessoa;Kitnet bairro dos Ipês;1 cama;João Pessoa;4.67;9;Quarto inteiro;R$79
Apartamento em Tambaú;Flat Imperial Tambaú (Móvel) Beira mar;1 cama;Tambaú;4.81;52;Apartamento;R$267
Apartamento em João Pessoa;Casa de Carla;3 camas;João Pessoa;5.0;5;Apartamento;R$165
Apartamento em Manaíra;Goldflat - Manaíra | Luxo & conforto.;1 cama;Manaíra;4.68;44;Apartamento;R$180
Quarto inteiro em Manaíra;Quarto* ind. em apto p 2pessoas c/ventilador;1 cama;Manaíra;5.0;7;Quarto inteiro;R$126
Apartamento em João Pessoa;Apartamento ótimo no bessa!;2 camas de casal;João Pessoa;4.82;11;Apartamento;R$137
Quarto inteiro em Manaíra;Quarto* ind. em apto p 2pessoas c/ventilador;1 cama;Manaíra;5.0;7;Quarto inteiro;R$126
Apartamento em Bessa;Apartamento a 200 mt da praia
Bem localizado;2 camas;Bessa;4.5;4;Apartamento;R$171
Apartamento em Tambaú;Cobertura c/ jacuzzi a 150mts da praia de Tambaú;4 camas;Tambaú;4.94;87;Apartamento;R$760
Apartamento em João Pessoa;Apartamento no Holandas Prime;4 camas;João Pessoa;4.79;125;Apartamento;R$271
Quarto de hotel em João Pessoa ;Flat frente mar com varanda e vista para mar;2 camas;João Pessoa ;4.81;52;Outro;R$281
Apartamento em Tambaú;Flat Imperial Tambaú (Móvel) Beira mar;1 cama;Tambaú;4.91;11;Apartamento;R$267
Apartamento em Cabo Branco;Bauten Cabo Branco 306 - Flat moderno e equipado próximo ao mar por Carpediem;2 camas;Cabo Branco;0;0;Apartamento;R$247
Apartamento em Cabedelo;Amplo apartamento em Intermares;2 camas;Cabedelo;4.76;62;Apartamento;R$198
Apartamento em Jardim Oceania;Espetacular Apartamento no Atlântico Norte;4 camas;Jardim Oceania;4.94;35;Apartamento;R$218
Condomínio em Jardim Oceania;lindo apartamento na beira mar da praia do Bessa, conhecido como caribessa pela beleza natural da praia. Ambiente familiar e com toda estrutura para sua hospedagem.;1 cama de casal;Jardim Oceania;4.93;126;Outro;R$353
Apartamento em Loteamento Bela Vista;408 Vista para o Mar, na praia de Intermares;1 cama de casal;Loteamento Bela Vista;5.0;10;Apartamento;R$296
Apartamento em João Pessoa;Apartamento encantador com estacionamento incluso.;5 camas;João Pessoa;5.0;5;Apartamento;R$377
Apartamento em João Pessoa;Casa de Carla;3 camas;João Pessoa;4.86;66;Apartamento;R$165
Apartamento em Cabo Branco;Flat ao Som das Ondas do Mar Cabo Branco mine coz.;1 cama queen;Cabo Branco;0;0;Apartamento;R$225
Quarto inteiro em João Pessoa;Apartamento Cabo Branco BT203;1 cama;João Pessoa;0;0;Quarto inteiro;R$195
Apartamento em João Pessoa;Apartamento Praia de Cabo Branco;3 camas;João Pessoa;4.9;126;Apartamento;R$280
